Date,Description,Amount,Category,Transaction Type
2025-10-10,Subway,-65.54,Restaurants,debit
2025-10-10,Gas Company,-171.41,Utilities,debit
2025-10-11,Gas Company,-195.66,Utilities,debit
2025-10-12,Investment Dividend,4757.28,Income,credit
2025-10-12,Internet Provider,-117.23,Utilities,debit
2025-10-13,Investment Dividend,3039.76,Income,credit
2025-10-13,Best Buy,-139.21,Shopping,debit
2025-10-14,Chevron,-54.77,Gas & Fuel,debit
2025-10-15,Safeway,-67.4,Groceries,debit
2025-10-15,Geico,-381.83,Insurance,debit
2025-10-15,Exxon,-60.19,Gas & Fuel,debit
2025-10-16,Best Buy,-273.02,Shopping,debit
2025-10-16,Kroger,-31.82,Groceries,debit
2025-10-17,Mobil,-53.3,Gas & Fuel,debit
2025-10-17,CVS Pharmacy,-192.03,Healthcare,debit
2025-10-18,Water Utility,-104.63,Utilities,debit
2025-10-18,Amazon,-85.65,Shopping,debit
2025-10-18,Subway,-12.99,Restaurants,debit
2025-10-18,Costco,-74.88,Groceries,debit
2025-10-19,AMC Theaters,-43.07,Entertainment,debit
2025-10-19,Chipotle,-70.03,Restaurants,debit
2025-10-20,Lyft,-16.91,Transportation,debit
2025-10-20,Walmart,-143.1,Groceries,debit
2025-10-23,Lyft,-48.41,Transportation,debit
2025-10-23,Spotify,-20.58,Entertainment,debit
2025-10-23,Netflix,-45.71,Entertainment,debit
2025-10-24,Trader Joe's,-81.56,Groceries,debit
2025-10-24,Dental Clinic,-149.01,Healthcare,debit
2025-10-25,Olive Garden,-18.48,Restaurants,debit
2025-10-26,Walgreens,-81.42,Healthcare,debit
2025-10-26,Olive Garden,-25.7,Restaurants,debit
2025-10-26,Lyft,-42.82,Transportation,debit
2025-10-26,Starbucks,-28.35,Restaurants,debit
2025-10-29,Trader Joe's,-69.79,Groceries,debit
2025-10-29,Home Depot,-188.56,Shopping,debit
2025-10-30,Exxon,-63.51,Gas & Fuel,debit
2025-10-30,Employer Payroll,2162.87,Income,credit
2025-10-31,Subway,-68.17,Restaurants,debit
2025-10-31,Water Utility,-126.68,Utilities,debit
2025-11-01,Gas Company,-195.78,Utilities,debit
2025-11-03,Metro Transit,-49.12,Transportation,debit
2025-11-03,Employer Payroll,606.49,Income,credit
2025-11-03,Macy's,-280.86,Shopping,debit
2025-11-04,Macy's,-128.05,Shopping,debit
2025-11-04,Olive Garden,-46.29,Restaurants,debit
2025-11-05,McDonald's,-55.23,Restaurants,debit
2025-11-06,Home Depot,-135.59,Shopping,debit
2025-11-06,Safeway,-43.64,Groceries,debit
2025-11-09,Amazon,-291.16,Shopping,debit
2025-11-09,Freelance Payment,818.86,Income,credit
2025-11-09,Target,-278.84,Shopping,debit
2025-11-09,Steam,-23.41,Entertainment,debit
2025-11-10,Parking Garage,-7.26,Transportation,debit
2025-11-10,Employer Payroll,3894.05,Income,credit
2025-11-10,Netflix,-39.66,Entertainment,debit
2025-11-10,Metro Transit,-19.5,Transportation,debit
2025-11-10,Spotify,-20.6,Entertainment,debit
2025-11-10,Home Depot,-179.22,Shopping,debit
2025-11-11,Zero Amount Transaction,0.0,Income,credit
2025-11-12,Olive Garden,-26.99,Restaurants,debit
2025-11-12,Amazon,-47.87,Shopping,debit
2025-11-14,Pizza Hut,-54.08,Restaurants,debit
2025-11-14,Olive Garden,-0.0,Restaurants,debit
2025-11-16,Macy's,-59.12,Shopping,debit
